subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues
12,m1,sham,15-80ms,0.015,0.08,0.3612593316561578,70.88790404483409,18.485500910224797,-0.2039459002859935,20.0000000000005,52.579273639745324,0.3728439798319997,0.09748006946011527,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-12_M1_sham_ave.fif,M1_sham,True,
12,ppc,active,15-80ms,0.015,0.08,0.7376505251034148,87.85692654768474,21.33409882808138,-0.27361984698936354,20.00000000000002,54.54632151239579,0.6628345191934615,0.07147424634799071,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-12_PPC_active_ave.fif,PPC_active,True,
12,ppc,sham,15-80ms,0.015,0.08,0.807195828324995,91.17290599002973,21.82569364847379,0.484317496994997,45.511124612494044,118.99100562445358,0.5252309892370455,0.08481432579495024,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-12_PPC_sham_ave.fif,PPC_sham,True,
13,dlpfc,active,15-80ms,0.015,0.08,0.5409542790727558,79.64726336997242,16.129984620905592,0.2791614857356222,20.000000000000004,61.97677977526236,0.7314243121020017,0.06379128940944205,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-13_DLPFC_active_ave.fif,DLPFC_active,True,
13,dlpfc,sham,15-80ms,0.015,0.08,0.35805378256433024,50.00000000000001,17.649437173542584,0.2862153104619878,20.000000000000004,60.61397772006799,0.7905105829152264,0.05633899251002985,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-13_DLPFC_sham_ave.fif,DLPFC_sham,True,
13,m1,active,15-80ms,0.015,0.08,0.48142369792493966,68.5271260189873,17.63289259192391,-0.22512697521051003,20.000000000000004,52.837934413036294,0.5131257058234538,0.08588878416362966,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-13_M1_active_ave.fif,M1_active,True,
13,m1,sham,15-80ms,0.015,0.08,0.328528031781485,70.67059293774354,18.237687153228872,-0.21071284707094307,20.00000000000007,52.66806349251848,0.37643698870977227,0.09720043422484155,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-13_M1_sham_ave.fif,M1_sham,True,
13,ppc,active,15-80ms,0.015,0.08,0.4928771364767706,77.06914622801027,18.68132596610768,-0.23697731469953762,20.00000000000057,53.16230099547716,0.5050948980958834,0.08659423855008987,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-13_PPC_active_ave.fif,PPC_active,True,
13,ppc,sham,15-80ms,0.015,0.08,0.5542100070339173,81.18817421929323,19.447585946508813,-0.24025383286699387,20.0000000000001,53.39110895310305,0.5209601831296486,0.08519494728854189,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-13_PPC_sham_ave.fif,PPC_sham,True,
14,dlpfc,active,15-80ms,0.015,0.08,0.6793376147871132,110.73288173918439,18.161014502768353,0.33214967654736394,20.000000000000004,61.50289065657804,0.8205388987166456,0.05214506299933923,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-14_DLPFC_active_ave.fif,DLPFC_active,True,
14,dlpfc,sham,15-80ms,0.015,0.08,0.8314690544099933,61.51826959185836,14.674438901557046,0.49888143264599594,53.6206155846723,107.23749482756851,0.7557987760429293,0.06082777774017229,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-14_DLPFC_sham_ave.fif,DLPFC_sham,True,
14,m1,active,15-80ms,0.015,0.08,0.4767964871096231,50.00000000000001,14.765746326275133,0.23503334976811552,20.000000000000004,61.73941425954593,0.8557706363246889,0.046747121719118205,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-14_M1_active_ave.fif,M1_active,True,
14,m1,sham,15-80ms,0.015,0.08,0.4354147215600182,74.09510632010922,18.692194175254354,-0.21579552210317443,20.000000000039915,52.89634738309885,0.4272506031427352,0.09315589710003704,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-14_M1_sham_ave.fif,M1_sham,True,
14,ppc,active,15-80ms,0.015,0.08,0.5172364304863403,79.83128474910146,19.42932805170321,-0.23845006255732074,20.00000000003573,53.30007614101709,0.5056999820437171,0.08654128616716021,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-14_PPC_active_ave.fif,PPC_active,True,
14,ppc,sham,15-80ms,0.015,0.08,0.5725684039297239,82.30609822593439,19.393485914729773,-0.23886463787073686,20.000000000000004,53.395009504200544,0.5201673202704187,0.0852654215794547,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-14_PPC_sham_ave.fif,PPC_sham,True,
15,dlpfc,active,15-80ms,0.015,0.08,0.7732068284314514,124.59747054998746,19.799572600157685,0.30042281188256365,20.000000000000032,62.74841448526869,0.6655795051777746,0.0711827029149723,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-15_DLPFC_active_ave.fif,DLPFC_active,True,
15,dlpfc,sham,15-80ms,0.015,0.08,1.0789994000162146,142.04801903873397,20.7228923785226,-0.6473996400097288,59.9784080650386,113.71026212014543,0.5274782326782194,0.08461336015667875,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-15_DLPFC_sham_ave.fif,DLPFC_sham,True,
15,m1,active,15-80ms,0.015,0.08,0.434006055612691,69.803477809375,18.92410995476807,-0.22551677942963327,20.000000000000004,52.923372526694145,0.47120401340537255,0.08951011341159679,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-15_M1_active_ave.fif,M1_active,True,
15,m1,sham,15-80ms,0.015,0.08,0.446600814851317,76.95873366419919,18.35999437609831,-0.2177638860240736,20.000000000759094,52.89206148082401,0.4295399089055745,0.09296953648136867,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-15_M1_sham_ave.fif,M1_sham,True,
15,ppc,active,15-80ms,0.015,0.08,0.7643409354167047,90.5060321433728,19.9391969066742,-0.2558612194064469,20.000000000000007,53.945508062489175,0.6093150788308024,0.07693808226469853,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-15_PPC_active_ave.fif,PPC_active,True,
15,ppc,sham,15-80ms,0.015,0.08,0.7801416411202733,92.3267292067279,21.691602040714482,0.468084984672164,45.38089697435308,118.15309420654287,0.4861987115945755,0.08823189902835922,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-15_PPC_sham_ave.fif,PPC_sham,True,
