subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues
10,dlpfc,active,15-80ms,0.015,0.08,0.8456196787345907,100.57394156387814,17.299494947532583,0.24779583734930077,20.000000000000004,62.61564480236516,0.6414535150853654,0.0737056476717491,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-10_DLPFC_active_ave.fif,DLPFC_active,True,
10,dlpfc,sham,15-80ms,0.015,0.08,0.25294226680204707,50.00000000000001,19.73673825668221,-0.19901509553944718,20.000000000000004,52.42444443860723,0.36260176303111546,0.09827282963766105,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-10_DLPFC_sham_ave.fif,DLPFC_sham,True,
10,m1,active,15-80ms,0.015,0.08,0.3741009454011433,65.54309920476602,20.008002525971037,-0.2204524035956974,20.000000000000004,52.91702197835559,0.43655856943604743,0.09239584066498684,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-10_M1_active_ave.fif,M1_active,True,
10,m1,sham,15-80ms,0.015,0.08,0.3936911149120879,74.553452104982,18.437538132899466,-0.20934767021405645,20.000000000009297,52.687095878288076,0.39120451605190776,0.0960425634769436,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-10_M1_sham_ave.fif,M1_sham,True,
10,ppc,active,15-80ms,0.015,0.08,0.8822910675598178,112.90404462017251,24.999999999999996,-0.5293746405358876,43.50507890821211,111.38851158112114,0.6981173516139801,0.06763120227383865,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-10_PPC_active_ave.fif,PPC_active,True,
10,ppc,sham,15-80ms,0.015,0.08,0.3954478735507949,73.51792888529268,18.6747693081793,-0.21493702205904014,20.000000000000014,52.79490718808916,0.40920882546339565,0.09461174045741758,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-10_PPC_sham_ave.fif,PPC_sham,True,
11,dlpfc,active,15-80ms,0.015,0.08,0.2876356191003163,50.00000000000041,14.31752227713736,0.2937182399323485,20.000000000000004,61.63920147672473,0.778187121752886,0.05797241745490433,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-11_DLPFC_active_ave.fif,DLPFC_active,True,
11,dlpfc,sham,15-80ms,0.015,0.08,0.23348186337137902,50.00000000000001,15.682531756129555,0.3054101744173674,20.00000000000007,60.20753796247931,0.7376546741020791,0.06304703942514274,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-11_DLPFC_sham_ave.fif,DLPFC_sham,True,
11,m1,active,15-80ms,0.015,0.08,0.34235785841483013,62.634887548304455,19.480756448918875,-0.21664060837378352,20.000000000000004,52.771024334073616,0.420831672755838,0.09367645213993954,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-11_M1_active_ave.fif,M1_active,True,
11,m1,sham,15-80ms,0.015,0.08,0.40949266259816564,72.80627582241536,18.738458134775026,-0.21735650960600816,20.00000000000275,52.86862087855659,0.4239719397152124,0.09342214878235018,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-11_M1_sham_ave.fif,M1_sham,True,
