subject,site,cond,window,tmin,tmax,A1,gamma1,f1,A2,gamma2,f2,R2,RMSE_uV,n_eeg,n_roi,roi_ok,roi_names,agg,file,evoked_comment,fit_valid,fit_issues,mi_early_late_bits,bins_early,bins_late,resample_n
8,ppc,active,early,0.015,0.08,0.5959314041653442,83.87007466189971,19.390140732463703,-0.2420741906050452,20.000000000000004,53.43198541871704,0.5338132401102018,0.0840442487973632,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-08_PPC_active_ave.fif,PPC_active,True,,0.5904837699841616,8,8,128
8,ppc,sham,early,0.015,0.08,0.399564676008262,73.31106131482595,18.60408267466647,-0.2134774920913854,20.00000000000705,52.7960263278453,0.4076142542965533,0.0947393350281515,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-08_PPC_sham_ave.fif,PPC_sham,True,,0.6273514359714317,9,8,128
9,dlpfc,active,early,0.015,0.08,0.2639211414462885,55.41465665377368,14.60144048403537,0.3078417868463509,20.000000000000004,62.06394633377937,0.7732630777459304,0.0586123529040072,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-09_DLPFC_active_ave.fif,DLPFC_active,True,,0.6254301004066871,17,8,128
9,dlpfc,sham,early,0.015,0.08,0.4678826900148697,50.00000000000001,13.95705583482806,0.2425695642576449,20.000000000000004,60.34951436431339,0.8639966062242403,0.0453944653174036,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-09_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.5363818164473093,8,8,128
9,m1,active,early,0.015,0.08,0.3992824098140934,69.50518833254175,18.94229862415457,-0.21567419400699,20.000000000000057,52.81090633351508,0.4255971648381719,0.0932902634792956,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-09_M1_active_ave.fif,M1_active,True,,0.6630212433186231,9,8,128
9,m1,sham,early,0.015,0.08,0.3722374181347491,70.73427191913002,18.423319700349595,-0.2085409318273401,20.00000000000175,52.68815886312242,0.3901307209171397,0.0961272262289764,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-09_M1_sham_ave.fif,M1_sham,True,,0.7014056859527912,9,8,128
9,ppc,active,early,0.015,0.08,0.8081198207141362,91.41247095679373,21.538838268898264,0.4848718924284817,46.55313878595622,119.09987859771864,0.509596756800843,0.0861994905419493,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-09_PPC_active_ave.fif,PPC_active,True,,0.8466802681558708,10,8,128
9,ppc,sham,early,0.015,0.08,0.3935128258541915,71.79982622301836,18.68864118545185,-0.2125058559843316,20.000000000000004,52.781082469080445,0.4066832580888667,0.0948137521919849,30,5,True,"P3,P7,Pz,CP1,CP5",pca1,sub-09_PPC_sham_ave.fif,PPC_sham,True,,0.6856815806327171,9,8,128
10,dlpfc,active,early,0.015,0.08,0.8456196787345907,100.57394156387814,17.299494947532583,0.2477958373493007,20.000000000000004,62.61564480236516,0.6414535150853654,0.0737056476717491,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-10_DLPFC_active_ave.fif,DLPFC_active,True,,0.6535945979508242,13,9,128
10,dlpfc,sham,early,0.015,0.08,0.252942266802047,50.00000000000001,19.73673825668221,-0.1990150955394471,20.000000000000004,52.42444443860723,0.3626017630311154,0.098272829637661,30,5,True,"Fp2,F4,F8,FC2,FC6",pca1,sub-10_DLPFC_sham_ave.fif,DLPFC_sham,True,,0.6614707033966314,10,8,128
10,m1,active,early,0.015,0.08,0.3741009454011433,65.54309920476602,20.00800252597104,-0.2204524035956974,20.000000000000004,52.91702197835559,0.4365585694360474,0.0923958406649868,30,5,True,"C3,FC1,CP1,FC5,CP5",pca1,sub-10_M1_active_ave.fif,M1_active,True,,0.7429134438664602,9,8,128
