subject,site,cond,channel,mi_early_late_bits,reason,resample_n
2,m1,active,O1,0.4599584218391165,ok,128
2,m1,active,O2,0.5093039465109477,ok,128
2,m1,active,F7,0.6209450055870306,ok,128
2,m1,active,F8,0.6218621794620494,ok,128
2,m1,active,T7,0.6039748945504909,ok,128
2,m1,active,T8,0.6495581557289185,ok,128
2,m1,active,P7,0.509570876705802,ok,128
2,m1,active,P8,0.4581015877303586,ok,128
2,m1,active,Fz,0.5896082083618469,ok,128
2,m1,active,Cz,0.5699948815839686,ok,128
2,m1,active,Pz,0.5671645538232555,ok,128
2,m1,active,Iz,0.5041978138060113,ok,128
2,m1,active,FC1,0.6552712183721995,ok,128
2,m1,active,FC2,0.511729726126004,ok,128
2,m1,active,CP1,0.6717503899723675,ok,128
2,m1,active,CP2,0.4765231733214146,ok,128
2,m1,active,FC5,0.5366724797321478,ok,128
2,m1,active,FC6,0.5545602548096704,ok,128
2,m1,active,CP5,0.663979184806371,ok,128
2,m1,active,CP6,0.6828025309434567,ok,128
2,m1,active,TP9,0.5634754311399822,ok,128
2,m1,active,TP10,0.4469483854871286,ok,128
2,m1,sham,Fp1,0.7346401608606754,ok,128
2,m1,sham,Fp2,0.6771099346054731,ok,128
2,m1,sham,F3,0.767939440176676,ok,128
2,m1,sham,F4,0.7133243789754644,ok,128
2,m1,sham,C3,0.7176347944994593,ok,128
2,m1,sham,C4,0.6385159646701627,ok,128
2,m1,sham,P3,0.6685819862366638,ok,128
2,m1,sham,P4,0.7102288997107048,ok,128
2,m1,sham,O1,0.7278983964525307,ok,128
2,m1,sham,O2,0.7349938492980951,ok,128
2,m1,sham,F7,0.7332491835348292,ok,128
2,m1,sham,F8,0.672044622170976,ok,128
2,m1,sham,T7,0.7200721883511636,ok,128
2,m1,sham,T8,0.6718019710884565,ok,128
2,m1,sham,P7,0.7723793767045032,ok,128
2,m1,sham,P8,0.6476150710095184,ok,128
2,m1,sham,Fz,0.8358519572244144,ok,128
2,m1,sham,Cz,0.7872542341890095,ok,128
2,m1,sham,Pz,0.7781642243975058,ok,128
2,m1,sham,Iz,0.7221513080458901,ok,128
2,m1,sham,FC1,0.7294652332345176,ok,128
2,m1,sham,FC2,0.6828480487284225,ok,128
2,m1,sham,CP1,0.707651641228899,ok,128
2,m1,sham,CP2,0.6650883955850607,ok,128
2,m1,sham,FC5,0.6131347882457637,ok,128
2,m1,sham,FC6,0.59725510071652,ok,128
