subject,site,cond,window,tmin,tmax,roi_names,agg_used_for_entropy,entropy_bins,entropy_shannon_bits,fit_valid,fit_issues,file
19,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5984531114450675,True,,sub-19_M1_sham_ave.fif
19,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6507593938925096,True,,sub-19_PPC_active_ave.fif
19,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6205276077977286,True,,sub-19_PPC_sham_ave.fif
20,dlpfc,active,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.6035282272552025,True,,sub-20_DLPFC_active_ave.fif
20,dlpfc,sham,early,0.015,0.08,"Fp2,F4,F8,FC2,FC6",mean,8,2.4812438775656998,True,,sub-20_DLPFC_sham_ave.fif
20,m1,active,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.5935578435397453,True,,sub-20_M1_active_ave.fif
20,m1,sham,early,0.015,0.08,"C3,FC1,CP1,FC5,CP5",mean,8,2.541815168171604,True,,sub-20_M1_sham_ave.fif
20,ppc,active,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6847077172209244,True,,sub-20_PPC_active_ave.fif
20,ppc,sham,early,0.015,0.08,"P3,P7,Pz,CP1,CP5",mean,8,2.6743418952868354,True,,sub-20_PPC_sham_ave.fif
1,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.8056011867637642,False,A1 non-trivial,sub-01_DLPFC_active_ave.fif
1,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,9,2.9530397145853846,False,A1 non-trivial,sub-01_DLPFC_sham_ave.fif
1,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.9037732075235088,False,A1 non-trivial,sub-01_M1_active_ave.fif
1,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8829576288953263,False,A1 non-trivial,sub-01_M1_sham_ave.fif
1,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.896158206510247,False,A1 non-trivial,sub-01_PPC_active_ave.fif
1,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.872220833312716,False,A1 non-trivial,sub-01_PPC_sham_ave.fif
2,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,10,2.9523350258288183,False,A1 non-trivial,sub-02_DLPFC_active_ave.fif
2,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.828042965794353,False,A1 non-trivial,sub-02_DLPFC_sham_ave.fif
2,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8886655979423157,False,A1 non-trivial,sub-02_M1_active_ave.fif
2,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8880917615594814,False,A1 non-trivial,sub-02_M1_sham_ave.fif
2,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.8889084268479897,False,A1 non-trivial,sub-02_PPC_active_ave.fif
2,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.863477465422527,False,A1 non-trivial,sub-02_PPC_sham_ave.fif
3,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.784096716147043,False,A1 non-trivial,sub-03_DLPFC_active_ave.fif
3,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.7551385616872714,False,A1 non-trivial,sub-03_DLPFC_sham_ave.fif
3,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.885297380950634,False,A1 non-trivial,sub-03_M1_active_ave.fif
3,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.88657209257482,False,A1 non-trivial,sub-03_M1_sham_ave.fif
3,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.8806999431547875,False,A1 non-trivial,sub-03_PPC_active_ave.fif
3,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.866849718681067,False,A1 non-trivial,sub-03_PPC_sham_ave.fif
4,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.890584992027588,False,A1 non-trivial,sub-04_DLPFC_active_ave.fif
4,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.6835585066571164,True,,sub-04_DLPFC_sham_ave.fif
4,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.874274304588843,False,A1 non-trivial,sub-04_M1_active_ave.fif
4,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8811666612950457,False,A1 non-trivial,sub-04_M1_sham_ave.fif
4,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.9006064626962216,False,A1 non-trivial,sub-04_PPC_active_ave.fif
4,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.8732383237578834,False,A1 non-trivial,sub-04_PPC_sham_ave.fif
5,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.8737502252761997,False,A1 non-trivial,sub-05_DLPFC_active_ave.fif
5,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.897580497069699,False,A1 non-trivial,sub-05_DLPFC_sham_ave.fif
5,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.863970528849432,False,A1 non-trivial,sub-05_M1_active_ave.fif
5,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8642104940567177,True,,sub-05_M1_sham_ave.fif
5,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.8746250551595494,False,A1 non-trivial,sub-05_PPC_active_ave.fif
5,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.868010926590726,False,A1 non-trivial,sub-05_PPC_sham_ave.fif
6,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.866747060102931,True,,sub-06_DLPFC_active_ave.fif
6,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.803282346420175,True,,sub-06_DLPFC_sham_ave.fif
6,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.848776011729976,False,A1 non-trivial,sub-06_M1_active_ave.fif
6,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.897390004583996,False,A1 non-trivial,sub-06_M1_sham_ave.fif
6,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.895723775067525,False,A1 non-trivial,sub-06_PPC_active_ave.fif
6,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.899455720036389,False,A1 non-trivial,sub-06_PPC_sham_ave.fif
7,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.884461116065292,False,A1 non-trivial,sub-07_DLPFC_active_ave.fif
7,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.8898190954826948,False,A1 non-trivial,sub-07_DLPFC_sham_ave.fif
7,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8969691527740316,False,A1 non-trivial,sub-07_M1_active_ave.fif
7,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,9,2.9656222447392055,True,,sub-07_M1_sham_ave.fif
7,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.8848449140695807,False,A1 non-trivial,sub-07_PPC_active_ave.fif
7,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.8858852125410266,False,A1 non-trivial,sub-07_PPC_sham_ave.fif
8,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,12,3.255769032847517,False,A1 non-trivial,sub-08_DLPFC_active_ave.fif
8,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.8673982679416126,False,A1 non-trivial,sub-08_DLPFC_sham_ave.fif
8,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8535129524846266,True,,sub-08_M1_active_ave.fif
8,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8949570513826965,False,A1 non-trivial,sub-08_M1_sham_ave.fif
8,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.8777584287419877,False,A1 non-trivial,sub-08_PPC_active_ave.fif
8,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.885104627469331,False,A1 non-trivial,sub-08_PPC_sham_ave.fif
9,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.7909243121323257,False,A1 non-trivial,sub-09_DLPFC_active_ave.fif
9,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.7650184696849243,False,A1 non-trivial,sub-09_DLPFC_sham_ave.fif
9,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8608781748703698,True,,sub-09_M1_active_ave.fif
9,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8898163642759283,False,A1 non-trivial,sub-09_M1_sham_ave.fif
9,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.8663318246103175,False,A1 non-trivial,sub-09_PPC_active_ave.fif
9,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.862580248412929,False,A1 non-trivial,sub-09_PPC_sham_ave.fif
10,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.5945129645422065,False,A1 non-trivial,sub-10_DLPFC_active_ave.fif
10,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.9058096684685992,True,,sub-10_DLPFC_sham_ave.fif
10,m1,active,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.889265849804044,False,A1 non-trivial,sub-10_M1_active_ave.fif
10,m1,sham,late,0.08,0.2,"C3,FC1,CP1,FC5,CP5",mean,8,2.8958645606780262,False,A1 non-trivial,sub-10_M1_sham_ave.fif
10,ppc,active,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,9,2.8428635025470643,False,A1 non-trivial,sub-10_PPC_active_ave.fif
10,ppc,sham,late,0.08,0.2,"P3,P7,Pz,CP1,CP5",mean,8,2.866636898206643,False,A1 non-trivial,sub-10_PPC_sham_ave.fif
11,dlpfc,active,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.810772184572932,False,A1 non-trivial,sub-11_DLPFC_active_ave.fif
11,dlpfc,sham,late,0.08,0.2,"Fp2,F4,F8,FC2,FC6",mean,8,2.826549642997981,True,,sub-11_DLPFC_sham_ave.fif
