site,channel,n_subjects,mean_diff_active_minus_sham,median_diff_active_minus_sham,t,p_t,W,p_wilcoxon,q_t_site,q_t_global
ppc,Cz,20,-0.006530427460015894,-0.038180575548841356,-0.177848474468019,0.8607244079245014,78.0,0.3299827575683594,0.9763041334333049,0.9935318937735861
ppc,F3,20,0.0028102539530814514,-0.02834212873524078,0.07615378490950854,0.9400929222599355,89.0,0.5705966949462891,0.9763041334333049,0.9935318937735861
ppc,F4,20,0.042487371209291,0.038876771138323496,1.2307202670380908,0.2334465942482193,73.0,0.24548721313476562,0.9617193643515907,0.843741361928853
ppc,F7,20,-0.000734405135970076,0.008301771902725796,-0.032515946808569375,0.9743997536288769,97.0,0.7841262817382812,0.9763041334333049,0.9935318937735861
ppc,F8,20,-0.011385203006755168,0.02780065623451372,-0.323188735842007,0.750082236970838,94.0,0.7011814117431641,0.9763041334333049,0.9389350093130219
ppc,FC1,20,-0.022515336845747004,-0.00032183730617602047,-0.6647412319205914,0.5142040366507736,92.0,0.6476554870605469,0.9763041334333049,0.9382721560514062
ppc,FC2,20,-0.03288555917792079,-0.032009327795185616,-1.1859648419697546,0.25025607940424743,62.0,0.11398696899414062,0.9617193643515907,0.843741361928853
ppc,FC5,20,0.009474053344922568,-0.003960223888015035,0.3078034713315596,0.7615806186650067,102.0,0.9272785186767578,0.9763041334333049,0.9389350093130219
ppc,FC6,20,-0.030768787387145474,-0.013573188765079625,-0.8092304958635215,0.4284006716886619,87.0,0.5216732025146484,0.9763041334333049,0.9382721560514062
ppc,Fp1,20,-0.08720470904226682,-0.05684203542651206,-2.6556387650844666,0.015610788015888838,36.0,0.00830841064453125,0.46832364047666514,0.843741361928853
ppc,Fp2,20,-0.06743767356232819,-0.04297507714124249,-1.2776213475282967,0.21677377630062955,87.0,0.5216732025146484,0.9617193643515907,0.843741361928853
ppc,Fz,20,-0.03527447249600016,-0.039816368109900135,-0.930631208742431,0.36371897401656617,80.0,0.36827659606933594,0.9763041334333049,0.9382721560514062
ppc,Iz,20,0.001099623651732412,-0.018680669045375242,0.030096314336108876,0.9763041334333049,75.0,0.2773551940917969,0.9763041334333049,0.9935318937735861
ppc,O1,20,0.006992540126673175,-0.011458676763093423,0.1510490747937947,0.8815291838995779,93.0,0.6742229461669922,0.9763041334333049,0.9935318937735861
ppc,O2,20,0.06419026026726685,0.05224036164831408,2.151451708974993,0.04451529059956487,56.0,0.069580078125,0.6677293589934731,0.843741361928853
ppc,P3,20,0.015922965909471416,-0.009465732189883391,0.4521477857718616,0.6562821234400877,99.0,0.8408222198486328,0.9763041334333049,0.9389350093130219
ppc,P4,20,0.034619810809841826,0.018903689054620365,1.0919327900526494,0.2885158093054772,83.0,0.4304332733154297,0.9617193643515907,0.843741361928853
ppc,P7,20,-0.010771982258988306,-0.020439668961836133,-0.3559682898664399,0.7257862004825746,90.0,0.5958194732666016,0.9763041334333049,0.9389350093130219
ppc,P8,20,0.025740862829531957,-0.00763802317100476,0.6354333218917237,0.5327250238882673,95.0,0.7285060882568359,0.9763041334333049,0.9382721560514062
ppc,Pz,20,0.01633034257644421,-0.014505864819433584,0.5418218234012412,0.5942390321658906,98.0,0.8123550415039062,0.9763041334333049,0.9382721560514062
ppc,T7,20,-0.024851924102050976,-0.027324718939270853,-0.849243702951044,0.4063193260269119,75.0,0.2773551940917969,0.9763041334333049,0.9382721560514062
ppc,T8,20,-0.002877618908914853,-0.029462380206189243,-0.07713331541249797,0.9393239622852075,85.0,0.47490501403808594,0.9763041334333049,0.9935318937735861
ppc,TP10,20,0.027668391275953358,0.026199383953241506,1.1930896395806792,0.2475205035129009,77.0,0.3117942810058594,0.9617193643515907,0.843741361928853
ppc,TP9,20,0.02305446688648783,-0.0006714156020919404,0.8090109201609208,0.42852389407616853,90.0,0.5958194732666016,0.9763041334333049,0.9382721560514062
